,,,,,
Animals,,Medium-main,,Medium-details,
antelope,2,paper,2,ink,1
,,,,color,1
,,,,,
bear,24,metal,23,bronze,10
,,,,bronze with gilding,12
,,,,bronze with inlay,1
,,paper,1,opaque water color,1
,,,,,
bird ,52,glass,2,,
,,jade,10,,
,,metal,26,bronze,24
,,,,lead,1
,,,,bronze with gilding,1
,,paper,6,color,2
,,,,etching,1
,,,,watercolor,2
,,,,wood engraving,1
,,ceramic,1,stone paste,1
,,silk,5,,
,,silver,2,silver with gilding,2
,,,,,
butterfly,6,metal,3,bronze,2
,,,,bronze with gilding,1
,,paper,1,ink,1
,,silk,2,,
,,,,,
buffalo,1,metal,1,bronze,1
,,,,,
,,,,,
cheetah,1,paper,1,watercolor,1
,,,,,
cicada,2,jade,1,,
,,metal,1,bronze,1
,,,,,
,,,,,
cow,1,paper,1,watercolor,1
,,,,,
deer,10,metal,4,bronze,2
,,,,bronze with gilding,1
,,,,bronze with inlay,1
,,paper,4,color on paper,4
,,silk,2,,
,,,,,
duck,1,silver,1,silver with gilding,1
,,,,,
dog,4,metal,1,copper,1
,,paper,3,etching,2
,,,,water color,1
,,,,,
elephant,13,jade,2,,
,,metal,3,bronze,3
,,paper,6,ink,1
,,,,tracing,1
,,,,watercolor,3
,,,,color,1
,,other,1,ivory,1
,,stone,1,,
,,,,,
horse,37,metal,17,bronze,14
,,,,bronze with gilding,1
,,,,cooper,1
,,,,lead,1
,,paper,18,color,2
,,,,etching,9
,,,,ink,1
,,,,tracing,1
,,,,watercolor,5
,,stone,2,,
,,,,,
leopard,1,paper,1,ink,1
,,,,,
fish,2,metal,2,bronze,2
,,,,,
lion,32,ceramic,1,earthenware,1
,,glass,1,,
,,jade,2,,
,,metal,9,bronze,5
,,,,bronze with gilding,4
,,paper,3,ink,2
,,,,watercolor,1
,,stone,15,gilding,1
,,,,limestone,1
,,,,stone,13
,,other,1,ivory,1
,,,,,
monkey,7,metal,3,bronze,3
,,other,1,palm leaf,1
,,paper,1,watercolor,1
,,stone,2,marble,2
,,,,,
rabbit,4,ceramic,1,stone paste,1
,,metal,1,bronze,1
,,silver,2,silver with gilding,2
,,,,,
sheep,4,metal,1,bronze,1
,,paper,2,watercolor,1
,,,,color,1
,,stone,1,,
,,,,,
serpent,2,metal,2,bronze,2
,,,,,
,,,,,
tiger,4,metal,3,bronze,2
,,,,bronze with gilding,1
,,paper,1,color,1
,,,,,
turtle,2,metal,2,bronze,1
,,,,bronze with gilding,1
,,,,,
dragon,11,metal,8,bronze,6
,,,,bronze with gilding,2
,,jade,1,,
,,stone,1,marble,1
,,paper,1,watercolor,1
,,,,,
undefined,71,jade,1,,
,,metal,70,bronze,44
,,,,bronze with gilding,17
,,,,bronze with inlay,8
,,,,lead,1
,,,,,
phoenix,2,silver,1,silver with gilding,1
,,paper,1,watercolor,1
,,,,,
taotie,2,metal,1,bronze,1
,,paper,1,watercolor,1